"","L1","Average","Satisfaction","Usage"
"1","q01","3.95+/-0.07","92.1+/-2.1%","96.52%"
"2","q02","4.34+/-0.07","93.5+/-2%","98.16%"
"3","q03","3.42+/-0.07","86.6+/-2.6%","100%"
"36","q06_a","4.2+/-0.08","95.6+/-1.8%","92.88%"
"40","q06_b","3.65+/-0.12","83.2+/-4.1%","74.68%"
"4","q07_a","3.89+/-0.14","87.6+/-4.2%","41.91%"
"5","q07_b","4.16+/-0.11","94.1+/-2.6%","46.74%"
"6","q07_c","3.95+/-0.16","89.2+/-4.5%","32.58%"
"7","q07_d","3.85+/-0.14","87.6+/-4.4%","40.49%"
"8","q07_e","3.93+/-0.11","92.6+/-2.9%","56.28%"
"9","q07_f","4.14+/-0.14","91.3+/-3.8%","35.51%"
"10","q07_g","4+/-0.15","93.2+/-3.5%","38.84%"
"11","q07_h","3.91+/-0.1","88.8+/-3%","68.66%"
"12","q07_i","4+/-0.15","92.8+/-3.9%","31.15%"
"13","q07_j","4.37+/-0.08","94.1+/-2.1%","83.82%"
"14","q07_k","4.31+/-0.09","95.5+/-2%","71.34%"
"15","q08","4.19+/-0.07","95.6+/-1.7%","91.53%"
"16","q09_a","3.83+/-0.09","92.2+/-2.6%","75.72%"
"17","q09_b","3.82+/-0.11","90.4+/-3.2%","48.13%"
"18","q09_c","3.92+/-0.09","93.4+/-2.4%","67.89%"
"19","q10","3.95+/-0.08","94.8+/-1.9%","86.44%"
"20","q11_a","4.05+/-0.08","93.3+/-2.1%","77.24%"
"21","q11_b","4.16+/-0.08","94.6+/-2%","76.49%"
"22","q11_c","4.14+/-0.08","92.6+/-2.3%","79.21%"
"23","q11_d","4.06+/-0.15","91.2+/-3.8%","31.13%"
"24","q11_e","4.08+/-0.1","93+/-2.7%","52.92%"
"25","q12","4.14+/-0.07","96.4+/-1.5%","82.09%"
"48","q13","3.95+/-0.15","92.6+/-4.1%","76.8%"
"50","q14_a","3.86+/-0.13","88.7+/-3.9%","42.01%"
"26","q14_b","3.6+/-0.15","82.8+/-4.7%","39.17%"
"27","q14_c","3.63+/-0.17","84+/-5.1%","32.77%"
"37","q15","3.89+/-0.13","92.3+/-3.3%","55.83%"
"64","q16","3.84+/-0.1","91.6+/-2.8%","72.9%"
"41","q17_a","4.03+/-0.19","94.8+/-5%","14.96%"
"42","q17_b","3.98+/-0.22","90.2+/-7%","15.21%"
"43","q17_c","3.86+/-0.22","88.1+/-7%","15.91%"
"44","q17_d","4.1+/-0.24","95.6+/-5.4%","10.76%"
"45","q17_e","3.91+/-0.23","93.7+/-5.8%","12.39%"
"46","q17_f","3.88+/-0.33","92+/-8.3%","8.3%"
"47","q18","4.1+/-0.13","95.6+/-2.9%","32.86%"
"51","q19_a","3.73+/-0.12","86.4+/-4%","49.81%"
"52","q19_b","3.46+/-0.24","77.8+/-8.9%","15.8%"
"38","q19_c","3.67+/-0.11","82.5+/-3.6%","96.98%"
"65","q19_e","3.98+/-0.09","91.5+/-2.4%","93.89%"
"53","q19_f","4.17+/-0.08","94.9+/-1.9%","86.52%"
"54","q19_g","3.78+/-0.11","86.1+/-3.5%","65.22%"
"28","q19_h","3.88+/-0.09","87.3+/-2.6%","94.36%"
"29","q20","3.92+/-0.08","91.8+/-2.1%","96.45%"
"30","q21","3.71+/-0.1","85.1+/-3%","89.4%"
"31","q22","3.69+/-0.1","83.3+/-3.2%","87.73%"
"32","q23","3.94+/-0.08","92.8+/-2.2%","90.95%"
"55","q25_a","1.28+/-0.15","87.5+/-4.8%","97.46%"
"56","q25_b","1.32+/-0.16","93.7+/-3.7%","94.47%"
"57","q25_c","1.12+/-0.14","89.7+/-4.9%","86.07%"
"58","q26_a","3.94+/-0.18","89.9+/-5.7%","19.69%"
"33","q26_b","3.9+/-0.12","92.7+/-3.1%","36.33%"
"59","q26_c","3.61+/-0.23","87.1+/-7.2%","15.39%"
"34","q27_a","3.46+/-0.09","78.5+/-3.4%","97.07%"
"60","q27_b","4.39+/-0.07","96.4+/-1.6%","86.59%"
"35","q28","3.6+/-0.09","84.1+/-3.1%","97.37%"
"61","q29_a","3.62+/-0.11","80.2+/-3.6%","80.07%"
"62","q29_b","3.65+/-0.12","79.2+/-3.8%","78.75%"
"63","q29_c","3.7+/-0.19","80+/-6.2%","31.59%"
"49","q30","4.01+/-0.15","91.4+/-4.4%","77.44%"
"66","q31","4.17+/-0.11","95.3+/-2.6%","81.05%"
"39","q32","4.07+/-0.09","94.6+/-2.2%","92.6%"
